Domain,Area,Item,Year,Value
Crops and livestock products,Afghanistan,Almonds in shell,2022,64000
Crops and livestock products,Afghanistan,Anise badian coriander cumin caraway fennel and juniper berries raw,2022,17883.38
Crops and livestock products,Afghanistan,Apples,2022,318000
Crops and livestock products,Afghanistan,Apricots,2022,170507.92
Crops and livestock products,Afghanistan,Barley,2022,110000
Crops and livestock products,Afghanistan,Cantaloupes and other melons,2022,809194.26
Crops and livestock products,Afghanistan,Cattle fat unrendered,2022,2002.72
Crops and livestock products,Afghanistan,Edible offal of cattle fresh chilled or frozen,2022,14327.13
Crops and livestock products,Afghanistan,Edible offal of goat fresh chilled or frozen,2022,9221.22
Crops and livestock products,Afghanistan,Edible offal of sheep fresh chilled or frozen,2022,20825
Crops and livestock products,Afghanistan,Edible offals of camels and other camelids fresh chilled or frozen,2022,544.32
Crops and livestock products,Afghanistan,Fat of camels,2022,254.01
Crops and livestock products,Afghanistan,Figs,2022,29437.38
Crops and livestock products,Afghanistan,Game meat fresh chilled or frozen,2022,8010.44
Crops and livestock products,Afghanistan,Goat fat unrendered,2022,1747.18
Crops and livestock products,Afghanistan,Grapes,2022,910000
Crops and livestock products,Afghanistan,Hen eggs in shell fresh,2022,21564.4
Crops and livestock products,Afghanistan,Hen eggs in shell fresh,2022,431288
Crops and livestock products,Afghanistan,Linseed,2022,29000
Crops and livestock products,Afghanistan,Maize (corn),2022,311000
Crops and livestock products,Afghanistan,Meat of camels fresh or chilled,2022,3628.77
Crops and livestock products,Afghanistan,Meat of cattle with the bone fresh or chilled,2022,81649.23
Crops and livestock products,Afghanistan,Meat of chickens fresh or chilled,2022,28790.74
Crops and livestock products,Afghanistan,Meat of goat fresh or chilled,2022,47562.08
Crops and livestock products,Afghanistan,Meat of sheep fresh or chilled,2022,102000
Crops and livestock products,Afghanistan,Millet,2022,1671.6
Crops and livestock products,Afghanistan,Mustard seed,2022,1032.98
Crops and livestock products,Afghanistan,Natural honey,2022,1406.11
Crops and livestock products,Afghanistan,Olives,2022,7687.24
Crops and livestock products,Afghanistan,Onions and shallots dry (excluding dehydrated),2022,541000
Crops and livestock products,Afghanistan,Oranges,2022,8261.21
Crops and livestock products,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2022,37783.89
Crops and livestock products,Afghanistan,Other citrus fruit n.e.c.,2022,18501.35
Crops and livestock products,Afghanistan,Other fruits n.e.c.,2022,61977.16
Crops and livestock products,Afghanistan,Other nuts (excluding wild edible nuts and groundnuts) in shell n.e.c.,2022,2203.13
Crops and livestock products,Afghanistan,Other pulses n.e.c.,2022,54454.23
Crops and livestock products,Afghanistan,Other stimulant spice and aromatic crops n.e.c.,2022,10.89
Crops and livestock products,Afghanistan,Other stone fruits,2022,50457.67
Crops and livestock products,Afghanistan,Other vegetables fresh n.e.c.,2022,766887.84
Crops and livestock products,Afghanistan,Peaches and nectarines,2022,97704.88
Crops and livestock products,Afghanistan,Pears,2022,32000
Crops and livestock products,Afghanistan,Pistachios in shell,2022,2800.16
Crops and livestock products,Afghanistan,Plums and sloes,2022,45889.52
Crops and livestock products,Afghanistan,Potatoes,2022,889000
Crops and livestock products,Afghanistan,Raw hides and skins of cattle,2022,13402.8
Crops and livestock products,Afghanistan,Raw hides and skins of goats or kids,2022,7182.84
Crops and livestock products,Afghanistan,Raw hides and skins of sheep or lambs,2022,16150
Crops and livestock products,Afghanistan,Raw milk of camel,2022,6774.81
Crops and livestock products,Afghanistan,Raw milk of cattle,2022,1945903.74
Crops and livestock products,Afghanistan,Raw milk of goats,2022,118312.66
Crops and livestock products,Afghanistan,Raw milk of sheep,2022,162269.88
Crops and livestock products,Afghanistan,Rice,2022,592000
Crops and livestock products,Afghanistan,Seed cotton unginned,2022,73516.13
Crops and livestock products,Afghanistan,Sesame seed,2022,42000
Crops and livestock products,Afghanistan,Sheep fat unrendered,2022,5737.5
Crops and livestock products,Afghanistan,Shorn wool greasy including fleece-washed shorn wool,2022,12108.38
Crops and livestock products,Afghanistan,Silk-worm cocoons suitable for reeling,2022,500
Crops and livestock products,Afghanistan,Sugar beet,2022,6000
Crops and livestock products,Afghanistan,Sugar cane,2022,58000
Crops and livestock products,Afghanistan,Sunflower seed,2022,831.24
Crops and livestock products,Afghanistan,Walnuts in shell,2022,20000
Crops and livestock products,Afghanistan,Watermelons,2022,911090.55
Crops and livestock products,Afghanistan,Wheat,2022,3810000
Crops and livestock products,Afghanistan,Beef and Buffalo Meat primary,2022,81649.23
Crops and livestock products,Afghanistan,Cereals primary,2022,4824671.6
Crops and livestock products,Afghanistan,Citrus Fruit Total,2022,26762.56
Crops and livestock products,Afghanistan,Eggs Primary,2022,21564.4
Crops and livestock products,Afghanistan,Fibre Crops Fibre Equivalent,2022,25730.65
Crops and livestock products,Afghanistan,Fruit Primary,2022,3500805.8
Crops and livestock products,Afghanistan,Meat Poultry,2022,28790.74
Crops and livestock products,Afghanistan,Meat Total,2022,271641.25
Crops and livestock products,Afghanistan,Milk Total,2022,2233261.09
Crops and livestock products,Afghanistan,Oilcrops Cake Equivalent,2022,64301
